"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
1,"2","Typical peaks","2025-08-05T09:17:52.883282Z",1,"/data/upload/1/c85959c8-EMD-19683.png",41.736999999999995,"2025-08-05T09:24:06.272175Z"
2,"2","Typical smooth","2025-08-05T09:17:59.436056Z",2,"/data/upload/1/913154ed-EMD-19790.png",9.172,"2025-08-05T09:24:14.010232Z"
3,"2","Typical smooth","2025-08-05T09:18:01.244966Z",3,"/data/upload/1/f7b54582-EMD-19811.png",3.957,"2025-08-05T09:24:17.547850Z"
4,"2","Typical smooth","2025-08-05T09:18:02.779242Z",4,"/data/upload/1/47f10c78-EMD-29811.png",3.316,"2025-08-05T09:24:22.895266Z"
5,"2","Typical smooth","2025-08-05T09:18:04.461795Z",5,"/data/upload/1/4d789e5c-EMD-29828.png",3.769,"2025-08-05T09:24:26.886153Z"
6,"2","Typical smooth","2025-08-05T09:18:05.660304Z",6,"/data/upload/1/0cce57c7-EMD-29829.png",2.527,"2025-08-05T09:24:30.507307Z"
7,"2","Typical smooth","2025-08-05T09:18:06.740995Z",7,"/data/upload/1/5c774353-EMD-29830.png",2.766,"2025-08-05T09:24:33.932363Z"
37,"2","Typical smooth","2025-08-05T15:22:44.833683Z",8,"/data/upload/1/a946dc96-EMD-37998.png",1.729,"2025-08-05T15:22:44.833695Z"
9,"2","Typical smooth","2025-08-05T09:18:09.687217Z",9,"/data/upload/1/07250bfd-EMD-38001.png",3.888,"2025-08-05T09:24:41.069687Z"
10,"2","Atypical incorrect","2025-08-05T09:18:12.158159Z",10,"/data/upload/1/1ad8641f-EMD-38002.png",10.629999999999999,"2025-08-05T09:24:50.557103Z"
11,"2","Typical smooth","2025-08-05T09:18:13.437193Z",11,"/data/upload/1/120aed2b-EMD-38008.png",2.704,"2025-08-05T09:24:53.441371Z"
12,"2","Typical smooth","2025-08-05T09:18:14.373693Z",12,"/data/upload/1/bbdad970-EMD-38018.png",2.29,"2025-08-05T09:24:56.209856Z"
13,"2","Typical smooth","2025-08-05T09:18:15.309112Z",13,"/data/upload/1/a11cf64c-EMD-38194.png",2.564,"2025-08-05T09:24:59.750316Z"
14,"2","Typical Noisy","2025-08-05T09:18:18.261935Z",14,"/data/upload/1/e3d796e3-EMD-38220.png",5.996,"2025-08-05T09:25:04.518573Z"
15,"2","Typical Noisy","2025-08-05T09:18:20.324706Z",15,"/data/upload/1/f34deaef-EMD-38221.png",3.685,"2025-08-05T09:25:07.722310Z"
16,"2","Typical smooth","2025-08-05T09:18:21.428425Z",16,"/data/upload/1/69492413-EMD-38222.png",2.7880000000000003,"2025-08-05T09:25:11.315862Z"
17,"2","Typical Noisy","2025-08-05T09:18:22.474038Z",17,"/data/upload/1/c9a071d2-EMD-38223.png",2.834,"2025-08-05T09:25:15.038578Z"
18,"2","Typical smooth","2025-08-05T09:18:23.241254Z",18,"/data/upload/1/0a14ab12-EMD-38237.png",4.962999999999999,"2025-08-05T09:25:20.825180Z"
19,"2","Typical peaks","2025-08-05T09:18:24.014132Z",19,"/data/upload/1/742a734c-EMD-38282.png",2.09,"2025-08-05T09:25:23.692470Z"
20,"2","Typical peaks","2025-08-05T09:18:25.022689Z",20,"/data/upload/1/c59091e9-EMD-38391.png",2.499,"2025-08-05T09:25:26.840707Z"
21,"2","Typical smooth","2025-08-05T09:25:29.655182Z",21,"/data/upload/1/3c45e7bb-EMD-38405.png",1.474,"2025-08-05T09:25:29.655196Z"
22,"2","Typical smooth","2025-08-05T09:25:32.325479Z",22,"/data/upload/1/393a4433-EMD-38406.png",1.235,"2025-08-05T09:25:32.325494Z"
23,"2","Typical smooth","2025-08-05T09:25:40.913756Z",23,"/data/upload/1/40ef186d-EMD-38410.png",6.386,"2025-08-05T09:25:40.913773Z"
24,"2","Typical smooth","2025-08-05T09:25:47.182210Z",24,"/data/upload/1/24cdf1df-EMD-38411.png",6.12,"2025-08-05T09:25:47.182230Z"
25,"2","Typical Noisy","2025-08-05T09:25:51.967966Z",25,"/data/upload/1/2f428a13-EMD-38449.png",4.619,"2025-08-05T09:25:51.967991Z"
26,"2","Atypical incorrect","2025-08-05T09:26:01.602884Z",26,"/data/upload/1/772127cd-EMD-38623.png",9.49,"2025-08-05T09:26:01.602904Z"
27,"2","Typical smooth","2025-08-05T09:26:04.213637Z",27,"/data/upload/1/26048e84-EMD-38777.png",2.409,"2025-08-05T09:26:04.213660Z"
28,"2","Typical smooth","2025-08-05T09:26:05.619209Z",28,"/data/upload/1/b0b54ec2-EMD-38780.png",1.224,"2025-08-05T09:26:05.619226Z"
29,"2","Typical smooth","2025-08-05T09:26:06.641948Z",29,"/data/upload/1/64df1b70-EMD-38781.png",0.858,"2025-08-05T09:26:06.641968Z"
30,"2","Typical smooth","2025-08-05T09:26:07.556179Z",30,"/data/upload/1/00bae092-EMD-38782.png",0.756,"2025-08-05T09:26:07.556199Z"
31,"2","Typical peaks","2025-08-05T09:26:11.031305Z",31,"/data/upload/1/91c1a3b8-EMD-38786.png",3.314,"2025-08-05T09:26:11.031319Z"
32,"2","Typical peaks","2025-08-05T09:26:12.942269Z",32,"/data/upload/1/c665251b-EMD-38787.png",1.746,"2025-08-05T09:26:12.942285Z"
33,"2","Typical smooth","2025-08-05T09:26:14.092502Z",33,"/data/upload/1/f750fbdd-EMD-38801.png",1.006,"2025-08-05T09:26:14.092519Z"
34,"2","Typical smooth","2025-08-05T09:26:15.249700Z",34,"/data/upload/1/ad3ae116-EMD-38859.png",1.012,"2025-08-05T09:26:15.249720Z"
35,"2","Typical smooth","2025-08-05T09:26:16.323971Z",35,"/data/upload/1/8b8c10ff-EMD-39284.png",0.946,"2025-08-05T09:26:16.323981Z"
36,"2","Typical smooth","2025-08-05T15:22:42.777762Z",36,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-14849.png",38.632,"2025-08-05T15:22:42.777776Z"
38,"2","Atypical incorrect","2025-08-05T15:22:52.069470Z",37,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-14863.png",6.902,"2025-08-05T15:22:52.069477Z"
39,"2","Typical smooth","2025-08-05T15:22:53.768258Z",38,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15124.png",1.396,"2025-08-05T15:22:53.768280Z"
40,"2","Atypical incorrect","2025-08-05T15:23:07.769992Z",39,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15189.png",13.689,"2025-08-05T15:23:07.770010Z"
41,"2","Atypical other","2025-08-05T15:23:11.131507Z",40,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15214.png",3.056,"2025-08-05T15:23:11.131523Z"
42,"2","Atypical other","2025-08-05T15:23:12.781203Z",41,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15215.png",1.338,"2025-08-05T15:23:12.781217Z"
43,"2","Typical smooth","2025-08-05T15:23:15.583849Z",42,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15272.png",2.466,"2025-08-05T15:23:15.583861Z"
44,"2","Typical Noisy","2025-08-05T15:23:23.663934Z",43,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15358.png",7.755,"2025-08-05T15:23:23.663956Z"
51,"2","Typical Noisy","2025-08-05T18:36:15.233589Z",44,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15359.png",3.617,"2025-08-05T18:36:15.233610Z"
46,"2","Typical Noisy","2025-08-05T18:33:59.510319Z",45,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15360.png",12.006,"2025-08-05T18:33:59.510341Z"
47,"2","Typical Noisy","2025-08-05T18:34:02.427744Z",46,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15408.png",2.677,"2025-08-05T18:34:02.427765Z"
48,"2","Typical Noisy","2025-08-05T18:34:03.925371Z",47,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15410.png",1.251,"2025-08-05T18:34:03.925390Z"
49,"2","Typical smooth","2025-08-05T18:34:06.127276Z",48,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15411.png",1.922,"2025-08-05T18:34:06.127299Z"
50,"2","Atypical incorrect","2025-08-05T18:34:12.896843Z",49,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15412.png",6.515,"2025-08-05T18:34:12.896874Z"
52,"2","Atypical other","2025-08-05T18:36:49.452585Z",50,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15436.png",8.514,"2025-08-05T18:36:49.452601Z"
53,"2","Atypical other","2025-08-05T18:36:52.366108Z",51,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15439.png",2.579,"2025-08-05T18:36:52.366129Z"
54,"2","Atypical Noisy","2025-08-05T18:37:01.641546Z",52,"/data/local-files/?d=Users/jturner/PycharmProjects/fscurvedl/dataprepscripts/fscplots/EMD-15441.png",9.034,"2025-08-05T18:37:01.641567Z"
